trim_pot: 321 ,pot_adjust: 2 ,last_read: 319 ,Percentage:31% ,trim_pot_changed True
trim_pot: 307 ,pot_adjust: 14 ,last_read: 321 ,Percentage:30% ,trim_pot_changed True
trim_pot: 200 ,pot_adjust: 107 ,last_read: 307 ,Percentage:20% ,trim_pot_changed True
trim_pot: 177 ,pot_adjust: 23 ,last_read: 200 ,Percentage:17% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 177 ,last_read: 177 ,Percentage:0% ,trim_pot_changed True
trim_pot: 4 ,pot_adjust: 4 ,last_read: 0 ,Percentage:0% ,trim_pot_changed True
trim_pot: 8 ,pot_adjust: 4 ,last_read: 4 ,Percentage:1% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 8 ,last_read: 8 ,Percentage:0% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 9 ,pot_adjust: 9 ,last_read: 0 ,Percentage:1% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 9 ,last_read: 9 ,Percentage:0% ,trim_pot_changed True
trim_pot: 10 ,pot_adjust: 10 ,last_read: 0 ,Percentage:1% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 10 ,last_read: 10 ,Percentage:0% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 7 ,pot_adjust: 7 ,last_read: 0 ,Percentage:1% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 7 ,last_read: 7 ,Percentage:0% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 5 ,pot_adjust: 5 ,last_read: 0 ,Percentage:0% ,trim_pot_changed True
trim_pot: 10 ,pot_adjust: 5 ,last_read: 5 ,Percentage:1% ,trim_pot_changed True
