trim_pot: 373 ,pot_adjust: 373 ,last_read: 0 ,Percentage:36% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 373 ,last_read: 373 ,Percentage:0% ,trim_pot_changed True
trim_pot: 332 ,pot_adjust: 332 ,last_read: 0 ,Percentage:32% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 332 ,last_read: 332 ,Percentage:0% ,trim_pot_changed True
trim_pot: 312 ,pot_adjust: 312 ,last_read: 0 ,Percentage:30% ,trim_pot_changed True
trim_pot: 11 ,pot_adjust: 301 ,last_read: 312 ,Percentage:1% ,trim_pot_changed True
trim_pot: 355 ,pot_adjust: 344 ,last_read: 11 ,Percentage:35% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 355 ,last_read: 355 ,Percentage:0% ,trim_pot_changed True
trim_pot: 296 ,pot_adjust: 296 ,last_read: 0 ,Percentage:29% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 296 ,last_read: 296 ,Percentage:0% ,trim_pot_changed True
trim_pot: 303 ,pot_adjust: 303 ,last_read: 0 ,Percentage:30% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 303 ,last_read: 303 ,Percentage:0% ,trim_pot_changed True
trim_pot: 245 ,pot_adjust: 245 ,last_read: 0 ,Percentage:24% ,trim_pot_changed True
trim_pot: 13 ,pot_adjust: 232 ,last_read: 245 ,Percentage:1% ,trim_pot_changed True
trim_pot: 291 ,pot_adjust: 278 ,last_read: 13 ,Percentage:28% ,trim_pot_changed True
trim_pot: 55 ,pot_adjust: 236 ,last_read: 291 ,Percentage:5% ,trim_pot_changed True
trim_pot: 152 ,pot_adjust: 97 ,last_read: 55 ,Percentage:15% ,trim_pot_changed True
trim_pot: 303 ,pot_adjust: 151 ,last_read: 152 ,Percentage:30% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 303 ,last_read: 303 ,Percentage:0% ,trim_pot_changed True
trim_pot: 245 ,pot_adjust: 245 ,last_read: 0 ,Percentage:24% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 245 ,last_read: 245 ,Percentage:0% ,trim_pot_changed True
trim_pot: 289 ,pot_adjust: 289 ,last_read: 0 ,Percentage:28% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 289 ,last_read: 289 ,Percentage:0% ,trim_pot_changed True
trim_pot: 305 ,pot_adjust: 305 ,last_read: 0 ,Percentage:30% ,trim_pot_changed True
trim_pot: 2 ,pot_adjust: 303 ,last_read: 305 ,Percentage:0% ,trim_pot_changed True
trim_pot: 298 ,pot_adjust: 296 ,last_read: 2 ,Percentage:29% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 298 ,last_read: 298 ,Percentage:0% ,trim_pot_changed True
trim_pot: 304 ,pot_adjust: 304 ,last_read: 0 ,Percentage:30% ,trim_pot_changed True
trim_pot: 7 ,pot_adjust: 297 ,last_read: 304 ,Percentage:1% ,trim_pot_changed True
trim_pot: 284 ,pot_adjust: 277 ,last_read: 7 ,Percentage:28% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 284 ,last_read: 284 ,Percentage:0% ,trim_pot_changed True
trim_pot: 309 ,pot_adjust: 309 ,last_read: 0 ,Percentage:30% ,trim_pot_changed True
