1467727094.7 , serbatoio , 30.76 , al_fondi , 1.98 , al_generico , 1.75 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 31.4 , tazza2 , 1.84 , vapore , 1.79 
1467727094.82 , serbatoio , 31.71 , al_fondi , 1.58 , al_generico , 1.47 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 29.63 , tazza2 , 2.11 , vapore , 2.26 
1467727094.95 , serbatoio , 31.52 , al_fondi , 2.78 , al_generico , 2.51 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 30.48 , tazza2 , 1.84 , vapore , 1.9 
1467727095.08 , serbatoio , 29.48 , al_fondi , 1.76 , al_generico , 1.89 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 32.63 , tazza2 , 2.14 , vapore , 2.11 
1467727095.2 , serbatoio , 30.14 , al_fondi , 2.4 , al_generico , 2.43 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 32.47 , tazza2 , 2.34 , vapore , 2.1 
1467727095.37 , serbatoio , 31.1 , al_fondi , 2.0 , al_generico , 2.21 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 30.88 , tazza2 , 2.45 , vapore , 2.69 
1467727095.5 , serbatoio , 33.87 , al_fondi , 2.4 , al_generico , 2.28 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 32.25 , tazza2 , 2.19 , vapore , 1.83 
1467727095.63 , serbatoio , 32.63 , al_fondi , 2.18 , al_generico , 2.02 , al_calcif , 0.02 , premacinato , 0.0 , tazza1 , 32.38 , tazza2 , 2.48 , vapore , 2.56 
1467727095.77 , serbatoio , 33.0 , al_fondi , 1.96 , al_generico , 2.02 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 28.15 , tazza2 , 1.87 , vapore , 2.31 
1467727095.9 , serbatoio , 31.1 , al_fondi , 2.42 , al_generico , 2.26 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 30.01 , tazza2 , 2.41 , vapore , 2.59 
1467727096.03 , serbatoio , 33.56 , al_fondi , 2.38 , al_generico , 1.97 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 35.07 , tazza2 , 2.5 , vapore , 2.49 
1467727096.16 , serbatoio , 32.02 , al_fondi , 2.53 , al_generico , 2.33 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 30.67 , tazza2 , 2.19 , vapore , 2.34 
1467727096.3 , serbatoio , 31.32 , al_fondi , 2.1 , al_generico , 2.14 , al_calcif , 0.03 , premacinato , 0.0 , tazza1 , 31.36 , tazza2 , 2.9 , vapore , 3.03 
1467727096.44 , serbatoio , 30.73 , al_fondi , 2.04 , al_generico , 2.29 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 31.78 , tazza2 , 2.23 , vapore , 2.47 
1467727096.58 , serbatoio , 29.6 , al_fondi , 2.19 , al_generico , 1.97 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 33.38 , tazza2 , 2.34 , vapore , 2.38 
1467727096.71 , serbatoio , 30.26 , al_fondi , 2.32 , al_generico , 2.03 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 32.24 , tazza2 , 2.33 , vapore , 2.32 
1467727096.84 , serbatoio , 31.96 , al_fondi , 2.19 , al_generico , 2.12 , al_calcif , 0.01 , premacinato , 0.01 , tazza1 , 28.55 , tazza2 , 2.05 , vapore , 2.13 
1467727096.97 , serbatoio , 28.84 , al_fondi , 2.12 , al_generico , 2.04 , al_calcif , 0.01 , premacinato , 0.01 , tazza1 , 31.49 , tazza2 , 1.86 , vapore , 2.08 
1467727097.1 , serbatoio , 31.76 , al_fondi , 1.57 , al_generico , 1.32 , al_calcif , 0.06 , premacinato , 0.01 , tazza1 , 30.33 , tazza2 , 1.86 , vapore , 1.97 
1467727097.23 , serbatoio , 29.01 , al_fondi , 2.39 , al_generico , 2.38 , al_calcif , 0.02 , premacinato , 0.01 , tazza1 , 29.83 , tazza2 , 1.92 , vapore , 1.85 
1467727097.36 , serbatoio , 30.31 , al_fondi , 1.57 , al_generico , 1.66 , al_calcif , 0.02 , premacinato , 0.01 , tazza1 , 30.08 , tazza2 , 2.12 , vapore , 2.18 
1467727097.48 , serbatoio , 31.8 , al_fondi , 1.6 , al_generico , 1.43 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 31.84 , tazza2 , 1.88 , vapore , 2.23 
1467727097.61 , serbatoio , 31.84 , al_fondi , 1.94 , al_generico , 1.55 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 30.59 , tazza2 , 1.74 , vapore , 1.77 
1467727097.74 , serbatoio , 30.17 , al_fondi , 1.6 , al_generico , 1.8 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 30.89 , tazza2 , 1.43 , vapore , 1.75 
1467727097.87 , serbatoio , 29.75 , al_fondi , 2.65 , al_generico , 2.39 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 30.41 , tazza2 , 1.48 , vapore , 1.56 
1467727097.99 , serbatoio , 31.94 , al_fondi , 2.04 , al_generico , 2.1 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 31.87 , tazza2 , 1.81 , vapore , 1.72 
1467727098.12 , serbatoio , 30.79 , al_fondi , 8.38 , al_generico , 2.0 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 30.11 , tazza2 , 8.62 , vapore , 2.07 
1467727098.25 , serbatoio , 31.92 , al_fondi , 33.84 , al_generico , 2.08 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 30.69 , tazza2 , 31.63 , vapore , 2.48 
1467727098.37 , serbatoio , 30.39 , al_fondi , 32.67 , al_generico , 2.04 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 33.55 , tazza2 , 33.99 , vapore , 1.77 
1467727098.5 , serbatoio , 29.45 , al_fondi , 30.68 , al_generico , 2.02 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 32.7 , tazza2 , 33.9 , vapore , 2.25 
1467727098.63 , serbatoio , 30.51 , al_fondi , 29.73 , al_generico , 2.45 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 33.11 , tazza2 , 31.68 , vapore , 2.24 
1467727098.76 , serbatoio , 30.2 , al_fondi , 29.61 , al_generico , 2.27 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 32.34 , tazza2 , 32.78 , vapore , 2.09 
1467727098.88 , serbatoio , 29.68 , al_fondi , 29.75 , al_generico , 2.33 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 32.9 , tazza2 , 33.06 , vapore , 2.48 
1467727099.01 , serbatoio , 29.36 , al_fondi , 30.85 , al_generico , 2.05 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 32.35 , tazza2 , 32.56 , vapore , 2.02 
1467727099.14 , serbatoio , 32.96 , al_fondi , 32.47 , al_generico , 1.9 , al_calcif , 0.01 , premacinato , 0.0 , tazza1 , 32.41 , tazza2 , 30.87 , vapore , 2.21 
1467727099.27 , serbatoio , 31.28 , al_fondi , 34.57 , al_generico , 1.77 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 29.75 , tazza2 , 31.78 , vapore , 2.21 
1467727099.4 , serbatoio , 31.94 , al_fondi , 31.33 , al_generico , 1.7 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 32.75 , tazza2 , 28.96 , vapore , 1.51 
1467727099.52 , serbatoio , 30.12 , al_fondi , 32.13 , al_generico , 1.79 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 31.89 , tazza2 , 32.45 , vapore , 2.31 
1467727099.65 , serbatoio , 30.87 , al_fondi , 29.49 , al_generico , 2.12 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 30.64 , tazza2 , 31.24 , vapore , 1.77 
1467727099.78 , serbatoio , 32.69 , al_fondi , 33.27 , al_generico , 2.19 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 32.12 , tazza2 , 31.58 , vapore , 2.47 
1467727099.91 , serbatoio , 31.15 , al_fondi , 29.78 , al_generico , 2.52 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 32.89 , tazza2 , 31.66 , vapore , 1.98 
1467727100.04 , serbatoio , 29.5 , al_fondi , 31.97 , al_generico , 2.5 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 32.14 , tazza2 , 32.31 , vapore , 2.45 
1467727100.17 , serbatoio , 30.52 , al_fondi , 30.41 , al_generico , 2.75 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 30.89 , tazza2 , 31.92 , vapore , 2.48 
